Headline,URL,Summary
Refugees sent to Rwanda from remote UK island speak to BBC,https://www.bbc.com/news/articles/c511kkwej7jo,"The migrants, who the UN says are refugees, say they feel isolated and unsafe in the African country. "
Australia's 'Space Gandalf' astronomer dies aged 62,https://www.bbc.com/news/articles/cl7744p258yo,Greg Quicke was one of Australia's most famous astronomers and appeared on the BBC's Stargazing Live.
Refugees sent to Rwanda from remote UK island speak to BBC,https://www.bbc.com/news/articles/c511kkwej7jo,"The migrants, who the UN says are refugees, say they feel isolated and unsafe in the African country. "
The devastating cost of fighting Myanmar's military dictatorship,https://www.bbc.com/news/articles/cydd87gen62o,The BBC hears allegations of rape and torture by Myanmar's military in Chin State.
Why two UK judges cut ties with Hong Kong's courts,https://www.bbc.com/news/articles/c722094n135o,"The departure of two more British judges raises concerns about Hong Kong's legal system, critics say."
Why is Nvidia boss the 'Taylor Swift of tech'?,https://www.bbc.com/news/articles/cq55ek28z98o,"Jensen Huang is at the forefront of an AI boom, which coincides with Nvidia's rise as a leading chip firm."
Australia's 'Space Gandalf' astronomer dies aged 62,https://www.bbc.com/news/articles/cl7744p258yo,Greg Quicke was one of Australia's most famous astronomers and appeared on the BBC's Stargazing Live.
D-Day absence an extraordinary own goal from the Conservatives,https://www.bbc.com/news/articles/c4nnz0w41kvo,Rishi Sunak’s decision to leave the most poignant event in Europe early was always likely to be spotted.
Concern rises over AI in adult entertainment,https://www.bbc.com/news/articles/c2qqxqgp9yno,"AI in adult entertainment could have negative effects on society and individuals, experts say."
D-Day absence an extraordinary own goal from the Conservatives,https://www.bbc.com/news/articles/c4nnz0w41kvo,Rishi Sunak’s decision to leave the most poignant event in Europe early was always likely to be spotted.
Witnesses tell of 'unimaginable' Gaza shelter air strike,https://www.bbc.com/news/articles/cp335xyymjgo,Dozens of people are reported to have been killed in the strike which Israel says targeted Hamas.
Weekly quiz: Which runaway horse will wish the King a happy birthday?,https://www.bbc.com/news/world-69097605,Test how closely you have been paying attention to what has been going on over the past seven days.
Concern rises over AI in adult entertainment,https://www.bbc.com/news/articles/c2qqxqgp9yno,"AI in adult entertainment could have negative effects on society and individuals, experts say."
'Lion' pouts and baptisms: Africa's top shots,https://www.bbc.com/news/articles/c8441wy2y77o,A selection of the week's best photos from across the African continent.
Premier League clubs vote in favour of keeping VAR,https://www.bbc.com/sport/football/articles/ck55eg44n1do,Wolves' proposal to scrap VAR has been voted down at the Premier League's annual general meeting.  
'Lion' pouts and baptisms: Africa's top shots,https://www.bbc.com/news/articles/c8441wy2y77o,A selection of the week's best photos from across the African continent.
Zelensky and D-Day veteran call each other 'hero',https://www.bbc.com/news/articles/cd11rej2qy8o,Ukraine’s president hugged the World War Two soldier at a ceremony to mark the 80th anniversary of D-Day.
Prince Harry can appeal against UK security ruling,https://www.bbc.com/news/articles/c7228zd319lo,
Premier League clubs vote in favour of keeping VAR,https://www.bbc.com/sport/football/articles/ck55eg44n1do,Wolves' proposal to scrap VAR has been voted down at the Premier League's annual general meeting.  
Euro 2024 build-up: England squad reaction & Scotland latest,https://www.bbc.com/sport/football/live/c9xxn531wljt,"Reaction to England's Euro 2024 squad announcement and Wales' draw with Gibraltar, plus build-up to England and Scotland's final warm-up matches, and all the latest football news and gossip."
Zverev's domestic abuse case discontinued ,https://www.bbc.com/sport/tennis/articles/cw44pggrl7zo,German tennis player Alexander Zverev’s trial over domestic abuse allegations made by his former girlfriend is discontinued.
Euro 2024 build-up: England squad reaction & Scotland latest,https://www.bbc.com/sport/football/live/c9xxn531wljt,"Reaction to England's Euro 2024 squad announcement and Wales' draw with Gibraltar, plus build-up to England and Scotland's final warm-up matches, and all the latest football news and gossip."
Sensational upset awakens USA from 100-year cricketing hibernation,https://www.bbc.com/sport/cricket/articles/cy990k0lwl7o,Why the USA's shock victory over Pakistan in the men's T20 World Cup could be huge for the sport stateside.
Rydstrom & Hurzeler among Brighton contenders,https://www.bbc.com/sport/football/articles/crggep5049po,"Malmo boss Henrik Rydstrom and St Pauli coach Fabian Hurzeler are among the contenders to be the next Brighton manager, with the club set to make a decision at some point next week."
Zverev's domestic abuse case discontinued ,https://www.bbc.com/sport/tennis/articles/cw44pggrl7zo,German tennis player Alexander Zverev’s trial over domestic abuse allegations made by his former girlfriend is discontinued.
